Name,"Crop Type","Days to Maturity","Days to Transplant","Direct Sow","Succession Interval",Description,"Image File"
"Pencil podded",asparagus,730,21,No,21,,
"Faraday                           VOG080 Maxi                             Voltage                            VDF96 Voltage",asparagus,730,21,No,21,"Variety code: VDF72",
Capitano,asparagus,730,21,No,21,,
Bean,asparagus,730,21,No,21,,
"Lady Di                            B",asparagus,730,21,No,21,,
"Runner beans are gaining",asparagus,730,21,No,21,,
"Capitano                        1000 seeds per kilo. Sow under         VRB20 Achievement                       Early stringless type, producing",asparagus,715,21,No,21,"Variety code: VDF92",
"Red Flowered Varieties",asparagus,730,21,No,21,,
"A high quality variety",asparagus,730,21,No,21,,
"Dwarf Borlotto                                                         2.5cm in size.",asparagus,730,21,No,21,"Variety code: VDF86",
"Resistant to BCMV",asparagus,730,21,No,21,,
"Purple Queen                   averaging around 45cm in length.                                                   21/2kg     5kg         10kg",asparagus,730,21,No,21,"Variety code: VDF95",
"As the name suggests",asparagus,730,21,No,21,,
"Enorma                     YP",asparagus,730,21,No,21,"Variety code: VRB30",
Beet,asparagus,730,21,No,21,,
"Moonlight (not shown)                                                                                          stalks and spinach-like leaves for",asparagus,730,21,No,21,"Variety code: VRB25",
"Jackpot Series",asparagus,730,21,No,21,,
"Bulls Blood Red",asparagus,730,21,No,21,"Variety code: VBE75",
"Solitaire                                                               beetroot itself is large and only",asparagus,730,21,No,21,"Variety code: VRB80",
"Chard Bright Lights",asparagus,730,21,No,21,"Variety code: VBE90",
"Queen of Hearts                   A range of colours including white,       10g        25g        50g",asparagus,730,21,No,21,"Variety code: VRB82",
"As the name suggests this variety",asparagus,730,21,No,21,,
"White Lady                                                               packs and novelty box schemes.",asparagus,730,21,No,21,"Variety code: VRB66",
"A modern white flowered variety",asparagus,730,21,No,21,,
"White Emergo                     pods which are very tender.             schemes, etc.                         stems are suitable for both",asparagus,730,21,No,21,"Variety code: VRB40",
"White Emergo                                                            as an alternative ‘cut and come       VOG106 Rhubarb Chard",asparagus,730,21,No,21,"Variety code: VOG098",
"Albina Ice (not shown)           B",asparagus,730,21,No,21,"Variety code: VBE15",
"This traditional Italian globe",asparagus,730,21,No,21,,
"Detroit 2 Crimson                as a hot vegetable.",asparagus,730,21,No,21,"Variety code: VOG102",
Globe,asparagus,730,21,No,21,,
"F1 Pablo            Poly Glas",asparagus,730,21,No,21,"Variety code: VBE03",
"High quality",asparagus,730,21,No,21,,
"F1 Pablo        Poly Glas",asparagus,730,21,No,21,"Variety code: VBE05",
Bona,asparagus,730,21,No,21,"Variety code: VBE28",
"A mid to late season variety that       VBE",asparagus,750,21,No,21,,
"Dwarf Green Curled               with a medium green colour. Wide        with a purple tinge early in the",asparagus,715,21,No,21,"Variety code: VBO20",
Tuscany,asparagus,730,21,No,21,,
"F1 Redbor (not shown)          uniform and compact plants,",asparagus,730,21,No,21,"Variety code: VBO10",
"Superb flavour",asparagus,730,21,No,21,,
"Kapral                   YP      A hybrid green curly kale, with            500sd 1,000sd 2,500sd",asparagus,730,21,No,21,"Variety code: VBO75",
"Black Magic",asparagus,730,21,No,21,,
July,asparagus,730,21,No,21,,
"White Eye                                                        Summer cropping variety, from",asparagus,730,21,No,21,"Variety code: VBR032",
"Early Purple",asparagus,715,21,No,21,"Variety code: VBR010",
"A popular amateur variety",asparagus,730,21,No,21,,
"Very early variety of high quality",asparagus,715,21,No,21,,
"F1 Claret",asparagus,730,21,No,21,"Variety code: VBR005",
"Red Fire",asparagus,730,21,No,21,,
"Purple Rain",asparagus,730,21,No,21,,
Mendocino,asparagus,730,21,No,21,,
"F1 Red Fire",asparagus,730,21,No,21,"Variety code: VBR006",
"A hardy variety that produces",asparagus,730,21,No,21,,
"F1 Nautic                                                    VBR068 F1 Brest (not shown)",asparagus,730,21,No,21,"Variety code: VOG112",
"F1 Bosworth                                                            Brel",asparagus,730,21,No,21,"Variety code: VBR148",
"F1 Abacus                            ring spot, powdery mildew and white                               with sweet flavour. Suits loose or",asparagus,730,21,No,21,"Variety code: VBR058",
"F1 Brel NEW",asparagus,730,21,No,21,"Variety code: VBR090",
Brigitte,asparagus,730,21,No,21,,
Dagan,asparagus,730,21,No,21,,
"Small tops",asparagus,730,21,No,21,,
"F1 Crispus                                                                                                                                                                   fertile soils.",asparagus,730,21,No,21,"Variety code: VBR062",
"Brussels Sprouts",asparagus,730,21,No,21,,
"Abacus VBR",asparagus,730,21,No,21,,
"Crispus VBR",asparagus,730,21,No,21,,
"Churchill VBR",asparagus,730,21,No,21,,
"Maximus VBR",asparagus,730,21,No,21,,
"Dagan VBR",asparagus,730,21,No,21,,
"Nautic VOG",asparagus,730,21,No,21,,
"Bosworth VBR",asparagus,730,21,No,21,,
"F1 Churchill                          Brigitte VBR064",asparagus,730,21,No,21,"Variety code: VBR056",
"A first early variety",asparagus,715,21,No,21,,
"Brest VBR",asparagus,730,21,No,21,,
"August to October",asparagus,730,21,No,21,,
"Brechin VBR",asparagus,730,21,No,21,,
"Cabbage                                   Duncan",asparagus,730,21,No,21,,
"F1 Ruby Crunch NEW gardeners. 200-400 seeds per",asparagus,730,21,No,21,"Variety code: VBR144",
"F1 Doric                     picked.    Good holding ability.    transplanted, 1.25-2.5 kilos per            quality, uniformity and colour.",asparagus,730,21,No,21,"Variety code: VBR135",
"Bedford Darkmar 21",cabbage,70,28,No,21,"Variety code: VBR160",
"F1 Doric                     is well suited to plant sales, less",cabbage,70,28,No,21,"Variety code: VOG114",
"Reasonable quality",cabbage,70,28,No,21,,
"Flower Sprout",cabbage,70,28,No,21,,
"F1 Tantour",cabbage,70,28,No,21,"Variety code: VCA012",
"Kalettes Garden                  A well shaped hybrid suitable for",cabbage,70,28,No,21,"Variety code: VBR190",
"Also known as Flower Sprout",cabbage,70,28,No,21,,
"Open Pollinated Varieties",cabbage,70,28,No,21,,
"Hybrid Varieties",cabbage,70,28,No,21,,
"Wheelers Imperial",cabbage,70,28,No,21,"Variety code: VCA290",
"F1 Regency",cabbage,70,28,No,21,"Variety code: VCA006",
Cabbage,cabbage,70,28,No,21,,
"Healthy base",cabbage,70,28,No,21,,
"High yielding variety",cabbage,70,28,No,21,,
Greyhound,cabbage,70,28,No,21,"Variety code: VCA170",
"F1 Caraflex                                                and a broad base, suitable for                                                                                                   VCA105 F1 Sunta                 YP",cabbage,70,28,No,21,"Variety code: VCA032",
"F1 Caraflex                                                                                                                      (leaves do not hold colour or                                     2,500sd 10,000sd",cabbage,70,28,No,21,"Variety code: VOG132",
"Pointed Cabbage",cabbage,70,28,No,21,,
"VCA010                                                                                                                          ",cabbage,70,28,No,21,"Variety code: Winterjewel F1",
"VCA012                                                                                                                                                 ",cabbage,70,28,No,21,"Variety code: Tantour F1",
"VCA050                                                                                                                                                                            VCA097 F1 Magnus Cresco",cabbage,70,28,No,21,"Variety code: Duncan F1",
"VCA050                                                      New                                                                                                                     Early maturing, round, green",cabbage,55,28,No,21,"Variety code: Verve F1",
"VCA020                                                                                                                                                                          variety, producing dense, compact",cabbage,70,28,No,21,"Variety code: Summerjewel F1",
"VCA006                                                                                                                                                  ",cabbage,70,28,No,21,"Variety code: Regency F1",
"VCA032 / VOG132                                organic option                                                                                                                      holding ability. Typically matures",cabbage,70,28,No,21,"Variety code: Caraflex F1",
VCA105,cabbage,70,28,No,21,"Variety code: Sunta F1",
"Magnus Cresco F",cabbage,70,28,No,21,,
Overwinter,cabbage,90,28,No,21,,
"VCA026                                                                                                                                                  & Transplant",cabbage,70,28,No,21,"Variety code: Constable F1",
VCA100,cabbage,70,28,No,21,"Variety code: Stonehead F1",
"Golden Acre VCA",cabbage,70,28,No,21,,
VCA048,cabbage,70,28,No,21,"Variety code: Mozart F1",
"F1 Constable                      Kalibro F1 VCA045",cabbage,70,28,No,21,"Variety code: VCA026",
VCA166,cabbage,70,28,No,21,"Variety code: Kilastor F1",
"Green Rich F",cabbage,70,28,No,21,,
Stonehead,cabbage,70,28,No,21,,
"F1 Kalibro                                                                                                                       VCA166 F1 Kilastor",cabbage,70,28,No,21,"Variety code: VCA045",
"F1 Stonehead              YP",cabbage,70,28,No,21,"Variety code: VCA100",
Storka,cabbage,70,28,No,21,,
"F1 Cabbice                                                 VCA128 F1 Attraction",cabbage,70,28,No,21,"Variety code: VCA142",
"F1 Mozart                        Maturing after approximately 90-                                  An early white cabbage variety with",cabbage,55,28,No,21,"Variety code: VCA048",
Romanov,cabbage,70,28,No,21,,
Guard,cabbage,70,28,No,21,,
"F1 Rovite              YP",cabbage,70,28,No,21,"Variety code: VCA074",
"A mid-season",cabbage,70,28,No,21,,
"F1 Romanov NEW                                              market and short term storage.                                        VOG127 F1 Subaro",cabbage,90,28,No,21,"Variety code: VCA072",
"F1 Guard                        red heads. Good colour when small",cabbage,70,28,No,21,"Variety code: VCA130",
"Impala                              of an F",cabbage,70,28,No,21,,
"Red Drumhead                                                days from transplant. Suitable for                                   short internal stalk. Very good flavour",cabbage,70,28,No,21,"Variety code: VOG121",
"F1 Impala",cabbage,70,28,No,21,"Variety code: VOG125",
"A late winter white cabbage             Red",cabbage,90,28,No,21,,
"Red Cabbage",cabbage,70,28,No,21,,
"VCA072                                          New",cabbage,70,28,No,21,"Variety code: Romanov F1",
"VOG127                                organic option",cabbage,70,28,No,21,"Variety code: Subaro F1",
"Green Rich                            Rodima F",cabbage,70,28,No,21,,
"Savoy Cabbage",cabbage,70,28,No,21,,
VCA035,cabbage,70,28,No,21,"Variety code: Capriccio F1",
VCA110,cabbage,70,28,No,21,"Variety code: Serpentine F1",
VCA120,cabbage,70,28,No,21,"Variety code: Providence F1",
VCA126,cabbage,70,28,No,21,"Variety code: Cordesa F1",
"Ormskirk VCA",cabbage,70,28,No,21,,
VCA095,cabbage,70,28,No,21,"Variety code: Wirosa F1",
VCA085,cabbage,70,28,No,21,"Variety code: Rigoletto F1",
"VOG134                               organic option",cabbage,70,28,No,21,"Variety code: Cantasa F1",
"F1 Green Rich                    Winter Cabbage",cabbage,90,28,No,21,"Variety code: VCA137",
"A high quality",cabbage,70,28,No,21,,
"Glory of Enkhuizen VCA",cabbage,70,28,No,21,,
VCA145,cabbage,70,28,No,21,"Variety code: Marabel F1",
Capriccio,cabbage,70,28,No,21,,
"F1 Cordesa",cabbage,70,28,No,21,"Variety code: VCA126",
"F1 Capriccio                     flavour. Good standing ability for      stems and good standing ability.      standing ability. Typical maturity",cabbage,70,28,No,21,"Variety code: VCA035",
"Savoy type",cabbage,70,28,No,21,,
"Glory of Enkhuizen",cabbage,70,28,No,21,"Variety code: VCA155",
"Ormskirk                           Deadon",cabbage,70,28,No,21,"Variety code: VOG123",
"An early",cabbage,55,28,No,21,,
"A hybrid January King type",cabbage,70,28,No,21,,
"A mid-season Savoy variety",cabbage,70,28,No,21,,
Series,cabbage,70,28,No,21,"Variety code: Delistem F1",
"F1 Marathon                                                              Crops best in autumn, from a June       Technically a sprouting kale, this",cabbage,70,28,No,21,"Variety code: VCA325",
"Produces small evenly sized buds",cabbage,70,28,No,21,,
Ironman,cabbage,70,28,No,21,,
"F1 Kimono",cabbage,70,28,No,21,"Variety code: VCA322",
"An early maturing variety",cabbage,55,28,No,21,,
"F1 Monclano                      good colour and sweet flavour.",cabbage,70,28,No,21,"Variety code: VCA320",
"F1 Ironman                               2,500sd 10,000sd                domed head with a good bead;",cabbage,70,28,No,21,"Variety code: VCA330",
"F1 Titanium                                                              Sow April for cutting in early",cabbage,55,28,No,21,"Variety code: VCA332",
Mercurio,cabbage,70,28,No,21,,
"F1 Mercurio",cabbage,70,28,No,21,"Variety code: VCA368",
"A cylindrical",cabbage,70,28,No,21,,
"June to August",cabbage,70,28,No,21,,
"F1 Mercurio                       compared to other white root                                      skin and flesh, with some greening                                    Adds colour to salads and the like",cabbage,70,28,No,21,"Variety code: VCA369",
"F1 Laguna",cabbage,70,28,No,21,"Variety code: VCA365",
September,cabbage,70,28,No,21,,
"F1 Flyaway                         Napoli VOG175                                              organic option                     2nd Early, Maincrop                                             Bunching, Ware",cabbage,55,28,No,21,"Variety code: VCA375",
"F1 Sylvano",cabbage,70,28,No,21,"Variety code: VCA383",
"A Nantes x Kuroda hybrid",cabbage,70,28,No,21,,
Sugarsnax,cabbage,70,28,No,21,,
"F1 Resistafly",cabbage,70,28,No,21,"Variety code: VCA382",
"F1 Sugarsnax 54                  2,500sd 5,000sd 10,000sd",cabbage,70,28,No,21,"Variety code: VCA416",
"A high yielding Nantes variety",cabbage,70,28,No,21,,
"F1 Napoli (not shown)",cabbage,70,28,No,21,"Variety code: VOG175",
Approximately,cabbage,70,28,No,21,,
Norwich,cabbage,70,28,No,21,,
"F1 Eskimo (not shown)",cabbage,70,28,No,21,"Variety code: VCA402",
"A late maincrop type with very",cabbage,90,28,No,21,,
"F1 Maestro                    Good colour and excellent flavour.",cabbage,70,28,No,21,"Variety code: VCA377",
"F1 Norwich                      An excellent maincrop Nantes type    Strong tops for lifting. Intermediate",cabbage,90,28,No,21,"Variety code: VCA428",
Sylvano,cabbage,70,28,No,21,,
Amsterdam,cabbage,70,28,No,21,,
"Will not produce oversize carrots",cabbage,70,28,No,21,,
"Berlicum 2",cabbage,70,28,No,21,"Variety code: VCA390",
"Early Nantes 2                                             An open pollinated variety suitable                                   (not shown)",cabbage,55,28,No,21,"Variety code: VCA410",
"Early Nantes 2                                             variety, with good storage ability.",cabbage,55,28,No,21,"Variety code: VCA412",
"Paris Market Atlas                                                                                                               with a medium-blunt to blunt tip.",cabbage,70,28,No,21,"Variety code: VCA423",
Rothild,cabbage,70,28,No,21,,
Carrots,cabbage,70,28,No,21,,
"Romanesco types are increasing",cabbage,70,28,No,21,,
"F1 Bodilis",cabbage,70,28,No,21,"Variety code: VCA468",
Varieties,cabbage,70,28,No,21,,
"F1 Nautilus (not shown)",cabbage,70,28,No,21,"Variety code: VCA488",
"All Year Round",cabbage,70,28,No,21,"Variety code: VCA430",
"A high performing variety for",cabbage,70,28,No,21,,
"F1 Clipper",cabbage,70,28,No,21,"Variety code: VCA492",
"A spring into summer cropping",cabbage,70,28,No,21,,
"F1 Triomphant                        Gerona",cabbage,70,28,No,21,"Variety code: VCA545",
"Roscoff x autumn hybrid",cabbage,70,28,No,21,,
"Aalsmeer (not shown)                                          good density for an early type.",cabbage,55,28,No,21,"Variety code: VCA670",
"Christmas to mid-January in",cabbage,70,28,No,21,,
Kent,cabbage,70,28,No,21,,
"January in Cornwall",cabbage,70,28,No,21,,
"F1 Gerona                                                      250sd     500sd      1,000sd                                         25sd       50sd     100sd",cabbage,70,28,No,21,"Variety code: VCA675",
Medaillon,cabbage,70,28,No,21,,
Cauliflowers,cabbage,70,28,No,21,,
VCA488,cabbage,70,28,No,21,"Variety code: Nautilus F1",
VCA500,cabbage,70,28,No,21,"Variety code: Aviron F1",
"All Year Round VCA",cabbage,70,28,No,21,,
VCA475,cabbage,70,28,No,21,"Variety code: Graffiti F1",
VCA435,cabbage,70,28,No,21,"Variety code: Freedom F1",
VCA502,cabbage,70,28,No,21,"Variety code: Celio F1",
"F1 Medaillon",cabbage,70,28,No,21,"Variety code: VOG207",
VCA485,cabbage,70,28,No,21,"Variety code: Sunset F1",
AMO,cabbage,70,28,No,21,,
Redoubtable,cabbage,70,28,No,21,,
VCA508,cabbage,70,28,No,21,"Variety code: Trevi F1",
VCA515,cabbage,70,28,No,21,"Variety code: Navona F1",
"VOG202                              organic option",cabbage,70,28,No,21,"Variety code: Veronica F1",
"Minaret VCA",cabbage,70,28,No,21,,
"VCA478 / VOG195                     organic option",cabbage,70,28,No,21,"Variety code: Skywalker F1",
VCA468,cabbage,70,28,No,21,"Variety code: Bodilis F1",
VCA480,cabbage,70,28,No,21,"Variety code: Rafale F1",
VCA520,cabbage,70,28,No,21,"Variety code: Lazio F1",
VCA460,cabbage,70,28,No,21,"Variety code: Belot F1",
"F1 Redoubtable                    Optimist F1 VCA493",cabbage,70,28,No,21,"Variety code: VCA507",
"For production throughout the UK",cabbage,70,28,No,21,,
VCA682,cabbage,70,28,No,21,"Variety code: Mengwenn F1",
"Aalsmeer VCA",cabbage,70,28,No,21,,
"Celeriac                                Celery",cabbage,70,28,No,21,,
"F1 Celio (not shown)                                                                                                 Ideal for fresh market sales, long",cabbage,90,28,No,21,"Variety code: VCA502",
"F1 AMO 125                           minimum 18oC.         Sow into          x 30cm, or into cold glass (mild",cabbage,55,28,No,21,"Variety code: VCA525",
Monet,cabbage,70,28,No,21,,
"F1 Graffiti                                                                 blanching, erect habit.",cabbage,70,28,No,21,"Variety code: VCA475",
"F1 Navona                                                                                                              250sd      500sd     1,000sd",cabbage,70,28,No,21,"Variety code: VCA515",
"This stunning purple coloured",cabbage,70,28,No,21,,
Greensleeves,cabbage,70,28,No,21,,
"F1 Veronica                                                                 Resistant to bolting; tolerant of",cabbage,70,28,No,21,"Variety code: VOG202",
Septoria,cabbage,70,28,No,21,,
"Small compact frame",cabbage,70,28,No,21,,
"An open pollinated Romanesco",cabbage,70,28,No,21,,
Trevi,cabbage,70,28,No,21,,
"F1 Lazio (not shown)",cabbage,70,28,No,21,"Variety code: VCA520",
"Well shaped smooth celeriac",cabbage,70,28,No,21,,
"Tall Utah",cabbage,70,28,No,21,"Variety code: VOG235",
"Navona.                       September-October.                         market and storage.                     thick, well rounded stalks.",cabbage,90,28,No,21,"Variety code: follow F1",
"A rapidly establishing",cabbage,70,28,No,21,,
"Golden Self                                                                250g 500g           1kg     21/2kg",cabbage,70,28,No,21,"Variety code: VCE40",
"Super Mix",cabbage,70,28,No,21,"Variety code: VCO020",
"Green Soup                                                                grams/sqm). Quick growing, to a",cabbage,55,28,No,21,"Variety code: VCE45",
"Red Soup",cabbage,70,28,No,21,,
"Alfalfa (not shown)",cabbage,70,28,No,21,"Variety code: VGR10",
"A hardy perennial normally grown",cabbage,70,28,No,21,,
"Red Soup                           10kg/acre (2.5 grams/sqm). Avoid",cabbage,70,28,No,21,"Variety code: VCE50",
Quick-maturing,cabbage,55,28,No,21,,
"White Clover",cabbage,70,28,No,21,"Variety code: VGR38",
"Brussels Whitloof                                                         (not shown)                             acre (5 grams/sqm).",cabbage,70,28,No,21,"Variety code: VCH10",
"Brussels Witloof                  For August-November sowings at         nitrogen-fixing plant for sowing        spring, summer and early autumn",cabbage,55,28,No,21,"Variety code: VOG238",
May,cabbage,70,28,No,21,,
"C Cress",cabbage,70,28,No,21,,
"Cucumber                                Saturn",cabbage,70,28,No,21,,
"F1 Passandra",cabbage,70,28,No,21,"Variety code: VCU015",
"D         gram",cabbage,70,28,No,21,,
"A powdery mildew resistant",cabbage,70,28,No,21,,
"E VCR",cabbage,70,28,No,21,,
"Plain or Common",cabbage,70,28,No,21,,
Cress,cabbage,70,28,No,21,,
"Cucumbers are also very popular",cabbage,70,28,No,21,,
"A well known variety which is used",cabbage,70,28,No,21,,
"A      mid-early     all    female",cabbage,55,28,No,21,,
Cresso,cabbage,70,28,No,21,,
"Greenhouse Varieties",cabbage,70,28,No,21,,
Carmen,cabbage,70,28,No,21,,
Flamingo,cabbage,70,28,No,21,,
"Fast maturing",cabbage,55,28,No,21,,
"Louisa                              VCU",cabbage,70,28,No,21,,
"All female flowered",cabbage,70,28,No,21,,
"This is our best selling variety for",cabbage,70,28,No,21,,
"F1 Paska                         This unusual variety features very",cabbage,70,28,No,21,"Variety code: VOG300",
"F1 Louisa                YP",cabbage,70,28,No,21,"Variety code: VCU060",
"All female",cabbage,70,28,No,21,,
"Peticue                                  Partner",cabbage,70,28,No,21,,
"An unusual cucumber variety that",cabbage,70,28,No,21,,
"Blond Full Heart                  E",cabbage,70,28,No,21,"Variety code: VOG315",
"Light yellow skin and white flesh",cabbage,70,28,No,21,,
"Matures after around",cabbage,70,28,No,21,,
"Rust and drought resistant",cabbage,70,28,No,21,,
"Peticue                 YP",cabbage,70,28,No,21,"Variety code: VCU165",
"A short vining",cabbage,70,28,No,21,,
"Telegraph                         indoor and outdoor production. A",cabbage,70,28,No,21,"Variety code: VCU100",
Reliable,cabbage,70,28,No,21,,
"Sonja                             used as scion material with this       VEN35 Kokyta",cabbage,70,28,No,21,"Variety code: VOG312",
Fom,cabbage,70,28,No,21,,
"Watermelon varieties",cabbage,70,28,No,21,,
Alhambra,cabbage,70,28,No,21,,
Marketmore,cabbage,70,28,No,21,"Variety code: VCU120",
"A popular ridge slicer type",cabbage,70,28,No,21,,
"F1 Alhambra                           10g       25g        50g           split pills                             VEN82 Primafine",cabbage,70,28,No,21,"Variety code: VCU095",
"Dafne                             attractive dark colour and fine frills",cabbage,70,28,No,21,"Variety code: VEN45",
"ZYMV and CVYV",cabbage,70,28,No,21,,
"H Florence Fennel",cabbage,70,28,No,21,,
"Herbs                                   Basil",cabbage,70,28,No,21,,
Annual,cabbage,70,28,No,21,,
"Genovese type",cabbage,70,28,No,21,,
"Angelica (Angelica",cabbage,70,28,No,21,"Variety code: VHE010",
Biennial,cabbage,70,28,No,21,,
July-September,cabbage,70,28,No,21,,
"Basil, Gustosa",cabbage,70,28,No,21,"Variety code: VOG741",
"Seeds used in liquors",cabbage,70,28,No,21,,
"F1 Rondo                                                                                                     for all year round cultivation,",cabbage,70,28,No,21,"Variety code: VFE12",
"Moles Best Seller",cabbage,70,28,No,21,,
"A quick growing hybrid variety",cabbage,55,28,No,21,,
"Balm, Lemon                    shiny green leaves, plant height",cabbage,70,28,No,21,"Variety code: VHE030",
"F1 Rondo                         Perennial: 2,000 seeds per gram.      soups and fruit preserves. 25",cabbage,70,28,No,21,"Variety code: VFE15",
"Zefa Fino (not shown)                                                                                        flavour and a strong cinnamon",cabbage,70,28,No,21,"Variety code: VFE10",
"Genovese               aroma",cabbage,70,28,No,21,,
"OP variety producing flat",cabbage,70,28,No,21,,
"Zefa Fino                                                             half the size of sweet basil. Used    Purplish bronze ornamental foliage",cabbage,70,28,No,21,"Variety code: VOG320",
Height,cabbage,70,28,No,21,,
"Basil, Red                                                             Annual: 65 seeds per gram. Bushy        VOG755 Chamomile",cabbage,70,28,No,21,"Variety code: VHE064",
Perennial,cabbage,70,28,No,21,,
"Young leaves cucumber flavoured",cabbage,70,28,No,21,,
"Basil, Floral Spires                                                      25g       50g       100g",cabbage,70,28,No,21,"Variety code: VHE057",
"Basil, Sweet Thai                  25g        50g       100g           cut dark green leaves. Height 20-",cabbage,70,28,No,21,"Variety code: VOG743",
"Basil, Purple                             25g        50g               cataria) (not shown)                    soups. 30 seeds per 11cm pot.",cabbage,70,28,No,21,"Variety code: VHE080",
Chives,cabbage,70,28,No,21,,
"Dill Diana",cabbage,70,28,No,21,"Variety code: VHE182",
"Chives, Polystar                                                                                             Annual: 900 seeds per gram. A",cabbage,70,28,No,21,"Variety code: VHE152",
"Chives, Garlic                                                       Seed rate: 5kg per acre.",cabbage,70,28,No,21,"Variety code: VHE160",
"Pleasant mild garlic flavour",cabbage,70,28,No,21,,
"Coriander Santos              5kg per acre.                           VOG790 Dill Hera",cabbage,70,28,No,21,"Variety code: VHE172",
"Cumin (Cuminum                       10g       25g        50g",cabbage,70,28,No,21,"Variety code: VHE175",
"Coriander                                                            Annual: 300 seeds per gram. Grass",cabbage,70,28,No,21,"Variety code: VHE170",
"Dill (Anethum                    9cm pots.",cabbage,70,28,No,21,"Variety code: VHE180",
Marjoram,cabbage,70,28,No,21,,
"Marjoram, Pot",cabbage,70,28,No,21,"Variety code: VHE280",
