Name,"Variety Code","Crop Type","Days to Maturity","Days to Transplant","Direct Sow","Succession Interval",Description
"Red Epicure                                                                                                    for plant sales. Tolerant of BCMV",VBB14,"broad beans",730,21,No,21,"Variety code: VBB14"
"Cropping is from mid-June",,asparagus,730,21,No,21,
Algarve,VCF15,cauliflower,730,21,No,21,"Variety code: VCF15"
Limka,,asparagus,730,21,No,21,
Goldfield,VCF50,cauliflower,730,21,No,21,"Variety code: VCF50"
"Borlotto Lingua di                7-9mm, the variety is black-seeded",VCF80,cauliflower,730,21,No,21,"Variety code: VCF80"
"Duet                             VOG075 Limka                                    Fuoco (not shown)             Resistant to BCMV race 1.",VBB62,"broad beans",730,21,No,21,"Variety code: VBB62"
Sunshine,,asparagus,730,21,No,21,
"A prolific variety producing a",,asparagus,730,21,No,21,
"Scorpio                                                                                                        good yield of attractive pale",VBB70,"broad beans",730,21,No,21,"Variety code: VBB70"
"Martini                             Soliman",,asparagus,730,21,No,21,
Nassau,VDF50,"french beans",730,21,No,21,"Variety code: VDF50"
"Soliman                        green pods 16cm x 17mm. Plant",VOG088,asparagus,730,21,No,21,"Variety code: VOG088"
"Nautica                                                                                                      Unusual-podded",VDF35,"french beans",730,21,No,21,"Variety code: VDF35"
Dior,VDF91,"french beans",730,21,No,21,"Variety code: VDF91"
Faraday,,asparagus,730,21,No,21,
Maxi,,asparagus,730,21,No,21,
"Tendergreen                     upright habit. Beans are carried",VDF20,"french beans",730,21,No,21,"Variety code: VDF20"
"a standard dwarf bean variety",,"french beans",730,21,No,21,
"Faraday                           VOG080 Maxi                             Voltage                            VDF96 Voltage",VDF72,"french beans",730,21,No,21,"Variety code: VDF72"
Capitano,,asparagus,730,21,No,21,
"Lady Di                            B",,asparagus,730,21,No,21,
"Runner beans are gaining",,"french beans",730,21,No,21,
"popularity both as a finished",,asparagus,730,21,No,21,
"Capitano                        1000 seeds per kilo. Sow under         VRB20 Achievement                       Early stringless type, producing",VDF92,"french beans",715,21,No,21,"Variety code: VDF92"
"Dwarf Borlotto                                                         2.5cm in size.",VDF86,"french beans",730,21,No,21,"Variety code: VDF86"
"Purple Queen                   averaging around 45cm in length.                                                   21/2kg     5kg         10kg",VDF95,"french beans",730,21,No,21,"Variety code: VDF95"
"Enorma                     YP",VRB30,"runner beans",730,21,No,21,"Variety code: VRB30"
"Moonlight (not shown)                                                                                          stalks and spinach-like leaves for",VRB25,"runner beans",730,21,No,21,"Variety code: VRB25"
"Jackpot Series",,asparagus,730,21,No,21,
"which should be picked regularly to",,asparagus,730,21,No,21,
"Bulls Blood Red",VBE75,beetroot,730,21,No,21,"Variety code: VBE75"
"Solitaire                                                               beetroot itself is large and only",VRB80,"runner beans",730,21,No,21,"Variety code: VRB80"
"Chard Bright Lights",VBE90,beetroot,730,21,No,21,"Variety code: VBE90"
"Queen of Hearts                   A range of colours including white,       10g        25g        50g",VRB82,"runner beans",730,21,No,21,"Variety code: VRB82"
"White Lady                                                               packs and novelty box schemes.",VRB66,"runner beans",730,21,No,21,"Variety code: VRB66"
"White Emergo                     pods which are very tender.             schemes, etc.                         stems are suitable for both",VRB40,"runner beans",730,21,No,21,"Variety code: VRB40"
"White Emergo                                                            as an alternative ‘cut and come       VOG106 Rhubarb Chard",VOG098,asparagus,730,21,No,21,"Variety code: VOG098"
"Albina Ice (not shown)           B",VBE15,beetroot,730,21,No,21,"Variety code: VBE15"
"This traditional Italian globe",,asparagus,730,21,No,21,
"Detroit 2 Crimson                as a hot vegetable.",VOG102,asparagus,730,21,No,21,"Variety code: VOG102"
"F1 Pablo            Poly Glas",VBE03,beetroot,730,21,No,21,"Variety code: VBE03"
"F1 Pablo        Poly Glas",VBE05,beetroot,730,21,No,21,"Variety code: VBE05"
"graded seed",,asparagus,730,21,No,21,
Bona,VBE28,beetroot,730,21,No,21,"Variety code: VBE28"
"Dwarf Green Curled               with a medium green colour. Wide        with a purple tinge early in the",VBO20,beetroot,715,21,No,21,"Variety code: VBO20"
"F1 Redbor (not shown)          uniform and compact plants,",VBO10,beetroot,730,21,No,21,"Variety code: VBO10"
"of disease when compared to",,asparagus,730,21,No,21,
"both to salad leaf and full sized",,asparagus,730,21,No,21,
"worthy addition to any salad leaf",,asparagus,730,21,No,21,
"Kapral                   YP      A hybrid green curly kale, with            500sd 1,000sd 2,500sd",VBO75,beetroot,730,21,No,21,"Variety code: VBO75"
"Black Magic",,asparagus,730,21,No,21,
"White Eye                                                        Summer cropping variety, from",VBR032,broccoli,730,21,No,21,"Variety code: VBR032"
"Early Purple",VBR010,broccoli,715,21,No,21,"Variety code: VBR010"
"F1 Claret",VBR005,broccoli,730,21,No,21,"Variety code: VBR005"
"Red Fire",,asparagus,730,21,No,21,
"Purple Rain",,asparagus,730,21,No,21,
Mendocino,,asparagus,730,21,No,21,
"F1 Red Fire",VBR006,broccoli,730,21,No,21,"Variety code: VBR006"
"A hardy variety that produces",,asparagus,730,21,No,21,
"F1 Nautic                                                    VBR068 F1 Brest (not shown)",VOG112,asparagus,730,21,No,21,"Variety code: VOG112"
"F1 Bosworth                                                            Brel",VBR148,broccoli,730,21,No,21,"Variety code: VBR148"
"F1 Abacus                            ring spot, powdery mildew and white                               with sweet flavour. Suits loose or",VBR058,broccoli,730,21,No,21,"Variety code: VBR058"
"F1 Brel NEW",VBR090,broccoli,730,21,No,21,"Variety code: VBR090"
Brigitte,,asparagus,730,21,No,21,
Dagan,,asparagus,730,21,No,21,
"F1 Crispus                                                                                                                                                                   fertile soils.",VBR062,broccoli,730,21,No,21,"Variety code: VBR062"
Abacus,,asparagus,730,21,No,21,
Crispus,,asparagus,730,21,No,21,
Churchill,,asparagus,730,21,No,21,
Maximus,,asparagus,730,21,No,21,
Bosworth,,asparagus,730,21,No,21,
"F1 Churchill                          Brigitte VBR064",VBR056,broccoli,730,21,No,21,"Variety code: VBR056"
Brest,,asparagus,730,21,No,21,
Brechin,,asparagus,730,21,No,21,
"F1 Ruby Crunch NEW gardeners. 200-400 seeds per",VBR144,broccoli,70,28,No,21,"Variety code: VBR144"
"F1 Doric                     picked.    Good holding ability.    transplanted, 1.25-2.5 kilos per            quality, uniformity and colour.",VBR135,broccoli,70,28,No,21,"Variety code: VBR135"
"Bedford Darkmar 21",VBR160,broccoli,70,28,No,21,"Variety code: VBR160"
"F1 Doric                     is well suited to plant sales, less",VOG114,asparagus,70,28,No,21,"Variety code: VOG114"
"is better than the standard red",,cabbage,70,28,No,21,
"F1 Tantour",VCA012,cabbage,70,28,No,21,"Variety code: VCA012"
"Kalettes Garden                  A well shaped hybrid suitable for",VBR190,broccoli,70,28,No,21,"Variety code: VBR190"
"Open Pollinated Varieties",,cabbage,70,28,No,21,
veg,,cabbage,70,28,No,21,
"Wheelers Imperial",VCA290,cabbage,70,28,No,21,"Variety code: VCA290"
"well suited to summer and autumn",,cabbage,70,28,No,21,
vegetables,,cabbage,70,28,No,21,
"F1 Regency",VCA006,cabbage,70,28,No,21,"Variety code: VCA006"
Greyhound,VCA170,cabbage,70,28,No,21,"Variety code: VCA170"
"F1 Caraflex                                                and a broad base, suitable for                                                                                                   VCA105 F1 Sunta                 YP",VCA032,cabbage,70,28,No,21,"Variety code: VCA032"
"F1 Caraflex                                                                                                                      (leaves do not hold colour or                                     2,500sd 10,000sd",VOG132,cabbage,70,28,No,21,"Variety code: VOG132"
"Pointed Cabbage",,cabbage,70,28,No,21,
"VCA010                                                                                                                          ","Winterjewel F1",cabbage,70,28,No,21,"Variety code: Winterjewel F1"
"VCA012                                                                                                                                                 ","Tantour F1",cabbage,70,28,No,21,"Variety code: Tantour F1"
"VCA050                                                                                                                                                                            VCA097 F1 Magnus Cresco","Duncan F1",cabbage,70,28,No,21,"Variety code: Duncan F1"
"VCA050                                                      New                                                                                                                     Early maturing, round, green","Verve F1",cabbage,55,28,No,21,"Variety code: Verve F1"
"VCA020                                                                                                                                                                          variety, producing dense, compact","Summerjewel F1",cabbage,70,28,No,21,"Variety code: Summerjewel F1"
"VCA006                                                                                                                                                  ","Regency F1",cabbage,70,28,No,21,"Variety code: Regency F1"
"VCA032 / VOG132                                organic option                                                                                                                      holding ability. Typically matures","Caraflex F1",cabbage,70,28,No,21,"Variety code: Caraflex F1"
VCA105,"Sunta F1",cabbage,70,28,No,21,"Variety code: Sunta F1"
Overwinter,,cabbage,90,28,No,21,
"VCA026                                                                                                                                                  & Transplant","Constable F1",cabbage,70,28,No,21,"Variety code: Constable F1"
VCA100,"Stonehead F1",cabbage,70,28,No,21,"Variety code: Stonehead F1"
"Golden Acre",,cabbage,70,28,No,21,
VCA048,"Mozart F1",cabbage,70,28,No,21,"Variety code: Mozart F1"
"F1 Constable                      Kalibro F1 VCA045",VCA026,cabbage,70,28,No,21,"Variety code: VCA026"
VCA166,"Kilastor F1",cabbage,70,28,No,21,"Variety code: Kilastor F1"
"organic option",,cabbage,70,28,No,21,
Stonehead,,cabbage,70,28,No,21,
"F1 Kalibro                                                                                                                       VCA166 F1 Kilastor",VCA045,cabbage,70,28,No,21,"Variety code: VCA045"
"F1 Stonehead              YP",VCA100,cabbage,70,28,No,21,"Variety code: VCA100"
Storka,,cabbage,70,28,No,21,
"F1 Cabbice                                                 VCA128 F1 Attraction",VCA142,cabbage,70,28,No,21,"Variety code: VCA142"
"F1 Mozart                        Maturing after approximately 90-                                  An early white cabbage variety with",VCA048,cabbage,55,28,No,21,"Variety code: VCA048"
Romanov,,cabbage,70,28,No,21,
Guard,,cabbage,70,28,No,21,
"F1 Rovite              YP",VCA074,cabbage,70,28,No,21,"Variety code: VCA074"
"F1 Romanov NEW                                              market and short term storage.                                        VOG127 F1 Subaro",VCA072,cabbage,90,28,No,21,"Variety code: VCA072"
"F1 Guard                        red heads. Good colour when small",VCA130,cabbage,70,28,No,21,"Variety code: VCA130"
"Red Drumhead                                                days from transplant. Suitable for                                   short internal stalk. Very good flavour",VOG121,cauliflower,70,28,No,21,"Variety code: VOG121"
"F1 Impala",VOG125,cauliflower,70,28,No,21,"Variety code: VOG125"
"Red Cabbage",,cabbage,70,28,No,21,
"VCA072                                          New","Romanov F1",cabbage,70,28,No,21,"Variety code: Romanov F1"
"VOG127                                organic option","Subaro F1",cabbage,70,28,No,21,"Variety code: Subaro F1"
"Savoy Cabbage",,cabbage,70,28,No,21,
VCA035,"Capriccio F1",cabbage,70,28,No,21,"Variety code: Capriccio F1"
VCA110,"Serpentine F1",cabbage,70,28,No,21,"Variety code: Serpentine F1"
VCA120,"Providence F1",cabbage,70,28,No,21,"Variety code: Providence F1"
VCA126,"Cordesa F1",cabbage,70,28,No,21,"Variety code: Cordesa F1"
VCA095,"Wirosa F1",cabbage,70,28,No,21,"Variety code: Wirosa F1"
VCA085,"Rigoletto F1",cabbage,70,28,No,21,"Variety code: Rigoletto F1"
"VOG134                               organic option","Cantasa F1",cabbage,70,28,No,21,"Variety code: Cantasa F1"
"F1 Green Rich                    Winter Cabbage",VCA137,cabbage,90,28,No,21,"Variety code: VCA137"
"Glory of Enkhuizen",,cabbage,70,28,No,21,
VCA145,"Marabel F1",cabbage,70,28,No,21,"Variety code: Marabel F1"
Capriccio,,cabbage,70,28,No,21,
"F1 Cordesa",VCA126,cabbage,70,28,No,21,"Variety code: VCA126"
"F1 Capriccio                     flavour. Good standing ability for      stems and good standing ability.      standing ability. Typical maturity",VCA035,cabbage,70,28,No,21,"Variety code: VCA035"
"Ormskirk                           Deadon",VOG123,cauliflower,70,28,No,21,"Variety code: VOG123"
Series,"Delistem F1",cabbage,70,28,No,21,"Variety code: Delistem F1"
"F1 Marathon                                                              Crops best in autumn, from a June       Technically a sprouting kale, this",VCA325,cabbage,70,28,No,21,"Variety code: VCA325"
"Produces small evenly sized buds",,cabbage,70,28,No,21,
Ironman,,cabbage,70,28,No,21,
"F1 Kimono",VCA322,cabbage,70,28,No,21,"Variety code: VCA322"
"F1 Monclano                      good colour and sweet flavour.",VCA320,cabbage,70,28,No,21,"Variety code: VCA320"
"F1 Ironman                               2,500sd 10,000sd                domed head with a good bead;",VCA330,cabbage,70,28,No,21,"Variety code: VCA330"
"F1 Titanium                                                              Sow April for cutting in early",VCA332,cabbage,55,28,No,21,"Variety code: VCA332"
"handling abilities make carrots",,carrot,70,28,No,21,
Mercurio,,cabbage,70,28,No,21,
"F1 Mercurio",VCA368,cabbage,70,28,No,21,"Variety code: VCA368"
"F1 Mercurio                       compared to other white root                                      skin and flesh, with some greening                                    Adds colour to salads and the like",VCA369,cabbage,70,28,No,21,"Variety code: VCA369"
"F1 Laguna",VCA365,cabbage,70,28,No,21,"Variety code: VCA365"
"F1 Flyaway                         Napoli VOG175                                              organic option                     2nd Early, Maincrop                                             Bunching, Ware",VCA375,cabbage,55,28,No,21,"Variety code: VCA375"
"F1 Sylvano",VCA383,cabbage,70,28,No,21,"Variety code: VCA383"
"maincrop and overwintering use",,cabbage,90,28,No,21,
"F1 Resistafly",VCA382,cabbage,70,28,No,21,"Variety code: VCA382"
"F1 Sugarsnax 54                  2,500sd 5,000sd 10,000sd",VCA416,cabbage,70,28,No,21,"Variety code: VCA416"
"organic seed",,cabbage,70,28,No,21,
"F1 Napoli (not shown)",VOG175,cauliflower,70,28,No,21,"Variety code: VOG175"
Norwich,,cabbage,70,28,No,21,
"F1 Eskimo (not shown)",VCA402,cabbage,70,28,No,21,"Variety code: VCA402"
"F1 Maestro                    Good colour and excellent flavour.",VCA377,cabbage,70,28,No,21,"Variety code: VCA377"
"F1 Norwich                      An excellent maincrop Nantes type    Strong tops for lifting. Intermediate",VCA428,cabbage,90,28,No,21,"Variety code: VCA428"
Sylvano,,cabbage,70,28,No,21,
"Will not produce oversize carrots",,carrot,70,28,No,21,
"Berlicum 2",VCA390,cabbage,70,28,No,21,"Variety code: VCA390"
"Early Nantes 2                                             An open pollinated variety suitable                                   (not shown)",VCA410,cabbage,55,28,No,21,"Variety code: VCA410"
"Early Nantes 2                                             variety, with good storage ability.",VCA412,cabbage,55,28,No,21,"Variety code: VCA412"
"Paris Market Atlas                                                                                                               with a medium-blunt to blunt tip.",VCA423,cabbage,70,28,No,21,"Variety code: VCA423"
Rothild,,cabbage,70,28,No,21,
"and storage possibilities - also",,cabbage,90,28,No,21,
"Romanesco types are increasing",,cabbage,70,28,No,21,
"in popularity due to their raised",,cabbage,70,28,No,21,
"F1 Bodilis",VCA468,cabbage,70,28,No,21,"Variety code: VCA468"
Varieties,,cabbage,70,28,No,21,
"F1 Nautilus (not shown)",VCA488,cabbage,70,28,No,21,"Variety code: VCA488"
"variety producing medium sized",,cabbage,70,28,No,21,
"All Year Round",VCA430,cabbage,70,28,No,21,"Variety code: VCA430"
"F1 Clipper",VCA492,cabbage,70,28,No,21,"Variety code: VCA492"
"A spring into summer cropping",,cabbage,70,28,No,21,
"F1 Triomphant                        Gerona",VCA545,cabbage,70,28,No,21,"Variety code: VCA545"
"an erect habit with a taller stem",,cabbage,70,28,No,21,
"semi-erect foliage gives attractive",,cabbage,70,28,No,21,
"Aalsmeer (not shown)                                          good density for an early type.",VCA670,cabbage,55,28,No,21,"Variety code: VCA670"
"Christmas to mid-January in",,cabbage,70,28,No,21,
"F1 Gerona                                                      250sd     500sd      1,000sd                                         25sd       50sd     100sd",VCA675,cabbage,70,28,No,21,"Variety code: VCA675"
Medaillon,,cabbage,70,28,No,21,
VCA488,"Nautilus F1",cabbage,70,28,No,21,"Variety code: Nautilus F1"
VCA500,"Aviron F1",cabbage,70,28,No,21,"Variety code: Aviron F1"
VCA475,"Graffiti F1",cabbage,70,28,No,21,"Variety code: Graffiti F1"
VCA435,"Freedom F1",cabbage,70,28,No,21,"Variety code: Freedom F1"
VCA502,"Celio F1",cabbage,70,28,No,21,"Variety code: Celio F1"
"F1 Medaillon",VOG207,cauliflower,70,28,No,21,"Variety code: VOG207"
VCA485,"Sunset F1",cabbage,70,28,No,21,"Variety code: Sunset F1"
Redoubtable,,cabbage,70,28,No,21,
VCA508,"Trevi F1",cabbage,70,28,No,21,"Variety code: Trevi F1"
VCA515,"Navona F1",cabbage,70,28,No,21,"Variety code: Navona F1"
"VOG202                              organic option","Veronica F1",cabbage,70,28,No,21,"Variety code: Veronica F1"
Minaret,,cabbage,70,28,No,21,
"VCA478 / VOG195                     organic option","Skywalker F1",cabbage,70,28,No,21,"Variety code: Skywalker F1"
VCA468,"Bodilis F1",cabbage,70,28,No,21,"Variety code: Bodilis F1"
VCA480,"Rafale F1",cabbage,70,28,No,21,"Variety code: Rafale F1"
VCA520,"Lazio F1",cabbage,70,28,No,21,"Variety code: Lazio F1"
VCA460,"Belot F1",cabbage,70,28,No,21,"Variety code: Belot F1"
"F1 Redoubtable                    Optimist F1 VCA493",VCA507,cabbage,70,28,No,21,"Variety code: VCA507"
VCA682,"Mengwenn F1",cabbage,70,28,No,21,"Variety code: Mengwenn F1"
Aalsmeer,,cabbage,70,28,No,21,
"F1 Celio (not shown)                                                                                                 Ideal for fresh market sales, long",VCA502,cabbage,140,70,No,21,"Variety code: VCA502"
"pinnacled heads in an attractive",,celeriac,120,70,No,21,
"F1 AMO 125                           minimum 18oC.         Sow into          x 30cm, or into cold glass (mild",VCA525,cabbage,105,70,No,21,"Variety code: VCA525"
vegetables,,celeriac,120,70,No,21,
Monet,,celeriac,120,70,No,21,
"F1 Graffiti                                                                 blanching, erect habit.",VCA475,cabbage,120,70,No,21,"Variety code: VCA475"
"F1 Navona                                                                                                              250sd      500sd     1,000sd",VCA515,cabbage,120,70,No,21,"Variety code: VCA515"
"This stunning purple coloured",,celeriac,120,70,No,21,
Greensleeves,,celeriac,120,70,No,21,
"F1 Veronica                                                                 Resistant to bolting; tolerant of",VOG202,cauliflower,120,70,No,21,"Variety code: VOG202"
"An open pollinated Romanesco",,celeriac,120,70,No,21,
"F1 Lazio (not shown)",VCA520,cabbage,120,70,No,21,"Variety code: VCA520"
"developed to extend the cropping",,celeriac,120,70,No,21,
"Tall Utah",VOG235,celery,120,70,No,21,"Variety code: VOG235"
"Navona.                       September-October.                         market and storage.                     thick, well rounded stalks.","follow F1",celeriac,140,70,No,21,"Variety code: follow F1"
"Golden Self                                                                250g 500g           1kg     21/2kg",VCE40,celery,120,70,No,21,"Variety code: VCE40"
"Super Mix",VCO020,courgette,120,70,No,21,"Variety code: VCO020"
"Green Soup                                                                grams/sqm). Quick growing, to a",VCE45,celery,105,70,No,21,"Variety code: VCE45"
"Red Soup",,celeriac,120,70,No,21,
"Alfalfa (not shown)",VGR10,greens,120,70,No,21,"Variety code: VGR10"
"A hardy perennial normally grown",,celeriac,120,70,No,21,
"between April and July at a rate of",,celeriac,120,70,No,21,
"Red Soup                           10kg/acre (2.5 grams/sqm). Avoid",VCE50,celery,120,70,No,21,"Variety code: VCE50"
"White Clover",VGR38,greens,120,70,No,21,"Variety code: VGR38"
"Brussels Whitloof                                                         (not shown)                             acre (5 grams/sqm).",VCH10,chives,120,70,No,21,"Variety code: VCH10"
"Brussels Witloof                  For August-November sowings at         nitrogen-fixing plant for sowing        spring, summer and early autumn",VOG238,chives,105,70,No,21,"Variety code: VOG238"
"C Cress",,celeriac,120,70,No,21,
veg,,celeriac,120,70,No,21,
"F1 Passandra",VCU015,cucumber,65,21,No,14,"Variety code: VCU015"
"A powdery mildew resistant",,cucumber,65,21,No,14,
veg,,cucumber,65,21,No,14,
"regularly produces small size fruit",,cucumber,65,21,No,14,
"Plain or Common",,cucumber,65,21,No,14,
"A well known variety which is used",,cucumber,65,21,No,14,
"A      mid-early     all    female",,cucumber,50,21,No,14,
Cresso,,cucumber,65,21,No,14,
"organic seed",,cucumber,65,21,No,14,
Carmen,,cucumber,65,21,No,14,
vegetables,,cucumber,65,21,No,14,
Flamingo,,cucumber,65,21,No,14,
"This is our best selling variety for",,cucumber,65,21,No,14,
"F1 Paska                         This unusual variety features very",VOG300,cucumber,65,21,No,14,"Variety code: VOG300"
"F1 Louisa                YP",VCU060,cucumber,65,21,No,14,"Variety code: VCU060"
"tolerant of downy mildew and",,cucumber,65,21,No,14,
"Peticue                                  Partner",,cucumber,65,21,No,14,
"An unusual cucumber variety that",,cucumber,65,21,No,14,
"Blond Full Heart                  E",VOG315,cucumber,65,21,No,14,"Variety code: VOG315"
"Peticue                 YP",VCU165,cucumber,65,21,No,14,"Variety code: VCU165"
"Telegraph                         indoor and outdoor production. A",VCU100,cucumber,65,21,No,14,"Variety code: VCU100"
"Sonja                             used as scion material with this       VEN35 Kokyta",VOG312,cucumber,65,21,No,14,"Variety code: VOG312"
Alhambra,,cucumber,65,21,No,14,
Marketmore,VCU120,cucumber,65,21,No,14,"Variety code: VCU120"
"A popular ridge slicer type",,cucumber,65,21,No,14,
"F1 Alhambra                           10g       25g        50g           split pills                             VEN82 Primafine",VCU095,cucumber,65,21,No,14,"Variety code: VCU095"
"Dafne                             attractive dark colour and fine frills",VEN45,endive,65,21,No,14,"Variety code: VEN45"
"H Florence Fennel",,cucumber,65,21,No,14,
"Angelica (Angelica",VHE010,herbs,65,21,No,14,"Variety code: VHE010"
"Basil, Gustosa",VOG741,fennel,65,21,No,14,"Variety code: VOG741"
"F1 Rondo                                                                                                     for all year round cultivation,",VFE12,"florence fennel",65,21,No,14,"Variety code: VFE12"
"pelleted seed",,cucumber,65,21,No,14,
"Balm, Lemon                    shiny green leaves, plant height",VHE030,herbs,65,21,No,14,"Variety code: VHE030"
"F1 Rondo                         Perennial: 2,000 seeds per gram.      soups and fruit preserves. 25",VFE15,"florence fennel",65,21,No,14,"Variety code: VFE15"
"Zefa Fino (not shown)                                                                                        flavour and a strong cinnamon",VFE10,"florence fennel",65,21,No,14,"Variety code: VFE10"
"Zefa Fino                                                             half the size of sweet basil. Used    Purplish bronze ornamental foliage",VOG320,fennel,65,21,No,14,"Variety code: VOG320"
"in hair rinses and in teas to aid",,cucumber,65,21,No,14,
"Basil, Red                                                             Annual: 65 seeds per gram. Bushy        VOG755 Chamomile",VHE064,herbs,65,21,No,14,"Variety code: VHE064"
"Basil, Floral Spires                                                      25g       50g       100g",VHE057,herbs,65,21,No,14,"Variety code: VHE057"
"Basil, Sweet Thai                  25g        50g       100g           cut dark green leaves. Height 20-",VOG743,fennel,65,21,No,14,"Variety code: VOG743"
"Basil, Purple                             25g        50g               cataria) (not shown)                    soups. 30 seeds per 11cm pot.",VHE080,herbs,65,21,No,14,"Variety code: VHE080"
"Dill Diana",VHE182,herbs,65,21,No,14,"Variety code: VHE182"
"Chives, Polystar                                                                                             Annual: 900 seeds per gram. A",VHE152,herbs,65,21,No,14,"Variety code: VHE152"
"Chives, Garlic                                                       Seed rate: 5kg per acre.",VHE160,herbs,65,21,No,14,"Variety code: VHE160"
"performs well under organic",,cucumber,65,21,No,14,
"Coriander Santos              5kg per acre.                           VOG790 Dill Hera",VHE172,herbs,65,21,No,14,"Variety code: VHE172"
"Cumin (Cuminum                       10g       25g        50g",VHE175,herbs,65,21,No,14,"Variety code: VHE175"
"Coriander                                                            Annual: 300 seeds per gram. Grass",VHE170,herbs,65,21,No,14,"Variety code: VHE170"
"Dill (Anethum                    9cm pots.",VHE180,herbs,65,21,No,14,"Variety code: VHE180"
"Marjoram, Pot",VHE280,herbs,65,21,No,14,"Variety code: VHE280"
"Lemon Grass                         organic seed",,cucumber,65,21,No,14,
"Hyssop Blue                   VHE260 Lovage",VHE230,herbs,65,21,No,14,"Variety code: VHE230"
"Marjoram, Sweet",VOG800,herbs,65,21,No,14,"Variety code: VOG800"
Rosemary,VOG805,herbs,65,21,No,14,"Variety code: VOG805"
"Hyssop, Pink                  VHE270 Marigold, Pot                   Perennial: 13,500 seeds per gram.     VHE360 Rue (Ruta graveolens)",VHE232,herbs,65,21,No,14,"Variety code: VHE232"
Tansy,VHE430,herbs,65,21,No,14,"Variety code: VHE430"
"Welsh Onion,",VHE460,herbs,65,21,No,14,"Variety code: VHE460"
Ballot,,cucumber,65,21,No,14,
"I Sage",,cucumber,65,21,No,14,
"Fern-like aromatic leaves and",,cucumber,65,21,No,14,
Jveg,,cucumber,65,21,No,14,
"pourri and as a natural insect",,cucumber,65,21,No,14,
Large,,cucumber,65,21,No,14,
Kveg,,cucumber,65,21,No,14,
Lveg,,cucumber,65,21,No,14,
"An early maturing purple variety",,cucumber,50,21,No,14,
"Welsh Onion, Red                 Resistant to bolting, stem splitting",VHE465,herbs,65,21,No,14,"Variety code: VHE465"
"Tarragon, Russian            (Allium fistulosum) (not shown)         and lignification. Maturity time is",VHE440,herbs,65,21,No,14,"Variety code: VHE440"
"Sage (Salvia officinalis)       Perennial: 6,000 seeds per gram.    Similar to Welsh Onion White but",VHE370,herbs,65,21,No,14,"Variety code: VHE370"
"Savory, Summer                                                       to October. 250,000 seeds per          Ideal variety for early greenhouse",VHE380,herbs,50,21,No,14,"Variety code: VHE380"
"Thyme, English               A Kohl Rabi variety produced",VHE450,herbs,65,21,No,14,"Variety code: VHE450"
"specifically   for     microgreen",,cucumber,65,21,No,14,
"produced feature a green leaf and",,cucumber,65,21,No,14,
